"model","outcome","cond_a","cond_b","kappa"
"GPT-4o-mini","OL","A","A_batch",0.723529495444421
"GPT-4o-mini","OL","A","A_batch_conf",0.761485233489648
"GPT-4o-mini","OL","A","A_conf",0.868950448835216
"GPT-4o-mini","OL","A","B",0.901436253304087
"GPT-4o-mini","OL","A","B_batch",0.641621131183565
"GPT-4o-mini","OL","A","B_batch_conf",0.625834500905928
"GPT-4o-mini","OL","A","B_conf",0.872827755511173
"GPT-4o-mini","OL","A","C.OL",0.734565790147892
"GPT-4o-mini","OL","A","C.OL_batch",0.708193274236119
"GPT-4o-mini","OL","A","C.OL_batch_conf",0.709371263999687
"GPT-4o-mini","OL","A","C.OL_conf",0.794367484397594
"GPT-4o-mini","OL","A_batch","A_batch_conf",0.843376537805363
"GPT-4o-mini","OL","A_batch","A_conf",0.652575265681533
"GPT-4o-mini","OL","A_batch","B",0.754770154659487
"GPT-4o-mini","OL","A_batch","B_batch",0.803751004897575
"GPT-4o-mini","OL","A_batch","B_batch_conf",0.703445957968407
"GPT-4o-mini","OL","A_batch","B_conf",0.668774137884686
"GPT-4o-mini","OL","A_batch","C.OL",0.753766521250745
"GPT-4o-mini","OL","A_batch","C.OL_batch",0.83849408425309
"GPT-4o-mini","OL","A_batch","C.OL_batch_conf",0.844950238804569
"GPT-4o-mini","OL","A_batch","C.OL_conf",0.787881713529569
"GPT-4o-mini","OL","A_batch_conf","A_conf",0.718233427951244
"GPT-4o-mini","OL","A_batch_conf","B",0.774535308486452
"GPT-4o-mini","OL","A_batch_conf","B_batch",0.737185369075365
"GPT-4o-mini","OL","A_batch_conf","B_batch_conf",0.73046506495206
"GPT-4o-mini","OL","A_batch_conf","B_conf",0.734105791012135
"GPT-4o-mini","OL","A_batch_conf","C.OL",0.70838561113671
"GPT-4o-mini","OL","A_batch_conf","C.OL_batch",0.803566264831784
"GPT-4o-mini","OL","A_batch_conf","C.OL_batch_conf",0.80317111228806
"GPT-4o-mini","OL","A_batch_conf","C.OL_conf",0.76253010075032
"GPT-4o-mini","OL","A_conf","B",0.797781041327245
"GPT-4o-mini","OL","A_conf","B_batch",0.574321686276589
"GPT-4o-mini","OL","A_conf","B_batch_conf",0.587732290787592
"GPT-4o-mini","OL","A_conf","B_conf",0.905342256511158
"GPT-4o-mini","OL","A_conf","C.OL",0.632890989636896
"GPT-4o-mini","OL","A_conf","C.OL_batch",0.638181615055707
"GPT-4o-mini","OL","A_conf","C.OL_batch_conf",0.637245817507917
"GPT-4o-mini","OL","A_conf","C.OL_conf",0.699733096085409
"GPT-4o-mini","OL","B","B_batch",0.683950118071465
"GPT-4o-mini","OL","B","B_batch_conf",0.634786267184523
"GPT-4o-mini","OL","B","B_conf",0.82549280547981
"GPT-4o-mini","OL","B","C.OL",0.7984099877424
"GPT-4o-mini","OL","B","C.OL_batch",0.744516568573646
"GPT-4o-mini","OL","B","C.OL_batch_conf",0.749339869064155
"GPT-4o-mini","OL","B","C.OL_conf",0.858368942851263
"GPT-4o-mini","OL","B_batch","B_batch_conf",0.689810972169909
"GPT-4o-mini","OL","B_batch","B_conf",0.582375841385446
"GPT-4o-mini","OL","B_batch","C.OL",0.748228598901419
"GPT-4o-mini","OL","B_batch","C.OL_batch",0.801256935891549
"GPT-4o-mini","OL","B_batch","C.OL_batch_conf",0.801008866250029
"GPT-4o-mini","OL","B_batch","C.OL_conf",0.741223081486158
"GPT-4o-mini","OL","B_batch_conf","B_conf",0.583654554670097
"GPT-4o-mini","OL","B_batch_conf","C.OL",0.606236244345622
"GPT-4o-mini","OL","B_batch_conf","C.OL_batch",0.716905448194585
"GPT-4o-mini","OL","B_batch_conf","C.OL_batch_conf",0.703890505289067
"GPT-4o-mini","OL","B_batch_conf","C.OL_conf",0.630329342949009
"GPT-4o-mini","OL","B_conf","C.OL",0.651985829010265
"GPT-4o-mini","OL","B_conf","C.OL_batch",0.65224578663011
"GPT-4o-mini","OL","B_conf","C.OL_batch_conf",0.653263741871593
"GPT-4o-mini","OL","B_conf","C.OL_conf",0.719738942014506
"GPT-4o-mini","OL","C.OL","C.OL_batch",0.782797094380378
"GPT-4o-mini","OL","C.OL","C.OL_batch_conf",0.78413783780248
"GPT-4o-mini","OL","C.OL","C.OL_conf",0.880556077815503
"GPT-4o-mini","OL","C.OL_batch","C.OL_batch_conf",0.915303402035375
"GPT-4o-mini","OL","C.OL_batch","C.OL_conf",0.785781756027348
"GPT-4o-mini","OL","C.OL_batch_conf","C.OL_conf",0.793886423535242
"GPT-5.4","OL","A","A_batch",0.826053586255005
"GPT-5.4","OL","A","A_batch_conf",0.844965558216826
"GPT-5.4","OL","A","A_conf",0.89900406789171
"GPT-5.4","OL","A","B",0.873124048430363
"GPT-5.4","OL","A","B_batch",0.82492063661345
"GPT-5.4","OL","A","B_batch_conf",0.845756372189874
"GPT-5.4","OL","A","B_conf",0.882236271228462
"GPT-5.4","OL","A","C.OL",0.905366528952434
"GPT-5.4","OL","A","C.OL_batch",0.820139333268258
"GPT-5.4","OL","A","C.OL_batch_conf",0.843933243121335
"GPT-5.4","OL","A","C.OL_conf",0.888130342493259
"GPT-5.4","OL","A_batch","A_batch_conf",0.899275875210976
"GPT-5.4","OL","A_batch","A_conf",0.808157858676289
"GPT-5.4","OL","A_batch","B",0.839649502658934
"GPT-5.4","OL","A_batch","B_batch",0.894527885897187
"GPT-5.4","OL","A_batch","B_batch_conf",0.877842921566173
"GPT-5.4","OL","A_batch","B_conf",0.841028997005901
"GPT-5.4","OL","A_batch","C.OL",0.845472248581877
"GPT-5.4","OL","A_batch","C.OL_batch",0.905270725053739
"GPT-5.4","OL","A_batch","C.OL_batch_conf",0.916040653999116
"GPT-5.4","OL","A_batch","C.OL_conf",0.801406008167528
"GPT-5.4","OL","A_batch_conf","A_conf",0.84352773826458
"GPT-5.4","OL","A_batch_conf","B",0.82560775696697
"GPT-5.4","OL","A_batch_conf","B_batch",0.865141870751969
"GPT-5.4","OL","A_batch_conf","B_batch_conf",0.887443954531078
"GPT-5.4","OL","A_batch_conf","B_conf",0.84416980118216
"GPT-5.4","OL","A_batch_conf","C.OL",0.848551200642289
"GPT-5.4","OL","A_batch_conf","C.OL_batch",0.873723509388383
"GPT-5.4","OL","A_batch_conf","C.OL_batch_conf",0.892237442922374
"GPT-5.4","OL","A_batch_conf","C.OL_conf",0.846631721995729
"GPT-5.4","OL","A_conf","B",0.834254143646409
"GPT-5.4","OL","A_conf","B_batch",0.803637679847978
"GPT-5.4","OL","A_conf","B_batch_conf",0.83132643021131
"GPT-5.4","OL","A_conf","B_conf",0.8801261829653
"GPT-5.4","OL","A_conf","C.OL",0.888848061730663
"GPT-5.4","OL","A_conf","C.OL_batch",0.820326177093891
"GPT-5.4","OL","A_conf","C.OL_batch_conf",0.820689655172414
"GPT-5.4","OL","A_conf","C.OL_conf",0.916789035731767
