"model","condition","kappa","outcome"
"GPT-4o-mini","A",0.476465971045765,"OL"
"GPT-4o-mini","A_batch",0.514270057056784,"OL"
"GPT-4o-mini","A_batch_conf",0.459515377949427,"OL"
"GPT-4o-mini","A_conf",0.426534979828791,"OL"
"GPT-4o-mini","B",0.520587759406967,"OL"
"GPT-4o-mini","B_batch",0.521687814365814,"OL"
"GPT-4o-mini","B_batch_conf",0.405891043563994,"OL"
"GPT-4o-mini","B_conf",0.431152598298671,"OL"
"GPT-4o-mini","C.OL",0.602347600443513,"OL"
"GPT-4o-mini","C.OL_batch",0.532797607923752,"OL"
"GPT-4o-mini","C.OL_batch_conf",0.538373438358246,"OL"
"GPT-4o-mini","C.OL_conf",0.55468681108727,"OL"
"GPT-5.4","A",0.599712446492174,"OL"
"GPT-5.4","A_batch",0.597948578729783,"OL"
"GPT-5.4","A_batch_conf",0.561599713697772,"OL"
"GPT-5.4","A_conf",0.568856011357693,"OL"
"GPT-5.4","B",0.651556768546219,"OL"
"GPT-5.4","B_batch",0.607142646946306,"OL"
"GPT-5.4","B_batch_conf",0.575700651236338,"OL"
"GPT-5.4","B_conf",0.617883072220099,"OL"
"GPT-5.4","C.OL",0.612824665728776,"OL"
"GPT-5.4","C.OL_batch",0.587344033793418,"OL"
"GPT-5.4","C.OL_batch_conf",0.594974131559497,"OL"
"GPT-5.4","C.OL_conf",0.532147907452538,"OL"
"Llama-3.1-70B","A",0.502078085069618,"OL"
"Llama-3.1-70B","A_batch",0.5699326301303,"OL"
"Llama-3.1-70B","A_batch_conf",0.504784337699622,"OL"
"Llama-3.1-70B","A_conf",0.424639301988114,"OL"
"Llama-3.1-70B","B",0.488510457456819,"OL"
"Llama-3.1-70B","B_batch",0.575327805430468,"OL"
"Llama-3.1-70B","B_batch_conf",0.507735161516896,"OL"
"Llama-3.1-70B","B_conf",0.428416899192408,"OL"
"Llama-3.1-70B","C.OL",0.519064989746103,"OL"
"Llama-3.1-70B","C.OL_batch",0.529745988308487,"OL"
"Llama-3.1-70B","C.OL_batch_conf",0.512381020969116,"OL"
"Llama-3.1-70B","C.OL_conf",0.48424748817877,"OL"
"Llama-3.1-8B","A",0.267701110109145,"OL"
"Llama-3.1-8B","A_batch",0.370177924736262,"OL"
"Llama-3.1-8B","A_batch_conf",0.285840875434428,"OL"
"Llama-3.1-8B","A_conf",0.165084778482031,"OL"
"Llama-3.1-8B","B",0.325162211589047,"OL"
"Llama-3.1-8B","B_batch",0.369852574811689,"OL"
"Llama-3.1-8B","B_batch_conf",0.137096949535799,"OL"
"Llama-3.1-8B","B_conf",0.389029128616329,"OL"
"Llama-3.1-8B","C.OL",0.356795001378296,"OL"
"Llama-3.1-8B","C.OL_batch",0.379776862743976,"OL"
"Llama-3.1-8B","C.OL_batch_conf",0.333209801675539,"OL"
"Llama-3.1-8B","C.OL_conf",0.333741576087806,"OL"
"Llama-4","A",0.346919899256926,"OL"
"Llama-4","A_batch",0.537999537999538,"OL"
"Llama-4","A_batch_conf",0.467894803863902,"OL"
"Llama-4","A_conf",0.324805440452702,"OL"
"Llama-4","B",0.44830916693156,"OL"
"Llama-4","B_batch",0.490177623322714,"OL"
"Llama-4","B_batch_conf",0.48268078905192,"OL"
"Llama-4","B_conf",0.43558282208589,"OL"
"Llama-4","C.OL",0.426707734680954,"OL"
"Llama-4","C.OL_batch",0.532030105813609,"OL"
"Llama-4","C.OL_batch_conf",0.517531202654931,"OL"
"Llama-4","C.OL_conf",0.444253922373143,"OL"
"Mistral-Large-3","A",0.345918249891894,"OL"
"Mistral-Large-3","A_batch",0.481037863840048,"OL"
"Mistral-Large-3","A_batch_conf",0.371847605576132,"OL"
"Mistral-Large-3","A_conf",0.23696643288166,"OL"
"Mistral-Large-3","B",0.332318290734824,"OL"
"Mistral-Large-3","B_batch",0.503418885732171,"OL"
"Mistral-Large-3","B_batch_conf",0.42825129314976,"OL"
"Mistral-Large-3","B_conf",0.219498180425206,"OL"
"Mistral-Large-3","C.OL",0.448083288418732,"OL"
"Mistral-Large-3","C.OL_batch",0.478848814796464,"OL"
"Mistral-Large-3","C.OL_batch_conf",0.427233329959607,"OL"
"Mistral-Large-3","C.OL_conf",0.376500586275568,"OL"
"Mistral-Medium-3.5","A",0.496379376054881,"OL"
"Mistral-Medium-3.5","A_batch",0.535841982643485,"OL"
"Mistral-Medium-3.5","A_batch_conf",0.359237554900277,"OL"
"Mistral-Medium-3.5","A_conf",0.550064957509446,"OL"
"Mistral-Medium-3.5","B",0.482593284940885,"OL"
"Mistral-Medium-3.5","B_batch",0.565644976233404,"OL"
"Mistral-Medium-3.5","B_batch_conf",0.489270126091174,"OL"
"Mistral-Medium-3.5","B_conf",0.524084482898619,"OL"
"Mistral-Medium-3.5","C.OL",0.463028276442806,"OL"
"Mistral-Medium-3.5","C.OL_batch",0.520587759406967,"OL"
"Mistral-Medium-3.5","C.OL_batch_conf",0.490329879070555,"OL"
"Mistral-Medium-3.5","C.OL_conf",0.52448596330717,"OL"
"GPT-4o-mini","A",0.608687243154151,"HS"
"GPT-4o-mini","A_batch",0.617017738181919,"HS"
"GPT-4o-mini","A_batch_conf",0.60241172370889,"HS"
"GPT-4o-mini","A_conf",0.587901523942099,"HS"
"GPT-4o-mini","B",0.582632865513092,"HS"
"GPT-4o-mini","B_batch",0.603255262270913,"HS"
"GPT-4o-mini","B_batch_conf",0.574703790689959,"HS"
"GPT-4o-mini","B_conf",0.601779119153376,"HS"
"GPT-4o-mini","C.HS",0.560175228841515,"HS"
"GPT-4o-mini","C.HS_batch",0.58333785601301,"HS"
"GPT-4o-mini","C.HS_batch_conf",0.560056244349183,"HS"
"GPT-4o-mini","C.HS_conf",0.557706329288583,"HS"
"GPT-5.4","A",0.612248917406752,"HS"
"GPT-5.4","A_batch",0.661499359080991,"HS"
"GPT-5.4","A_batch_conf",0.64109418974463,"HS"
"GPT-5.4","A_conf",0.538153537844302,"HS"
"GPT-5.4","B",0.607821274157921,"HS"
"GPT-5.4","B_batch",0.635385453216193,"HS"
"GPT-5.4","B_batch_conf",0.611500844604781,"HS"
"GPT-5.4","B_conf",0.504797573165645,"HS"
"GPT-5.4","C.HS",0.567872098051831,"HS"
"GPT-5.4","C.HS_batch",0.612271157419815,"HS"
"GPT-5.4","C.HS_batch_conf",0.589363587288928,"HS"
"GPT-5.4","C.HS_conf",0.582123169936578,"HS"
"Llama-3.1-70B","A",0.57545351179165,"HS"
"Llama-3.1-70B","A_batch",0.6154348150358,"HS"
"Llama-3.1-70B","A_batch_conf",0.592452016168381,"HS"
"Llama-3.1-70B","A_conf",0.56150460947313,"HS"
"Llama-3.1-70B","B",0.593354462278255,"HS"
"Llama-3.1-70B","B_batch",0.591002158092737,"HS"
"Llama-3.1-70B","B_batch_conf",0.577990877419818,"HS"
"Llama-3.1-70B","B_conf",0.554637320406143,"HS"
"Llama-3.1-70B","C.HS",0.599908046311033,"HS"
"Llama-3.1-70B","C.HS_batch",0.565047296136793,"HS"
"Llama-3.1-70B","C.HS_batch_conf",0.562146020646562,"HS"
"Llama-3.1-70B","C.HS_conf",0.621488864385715,"HS"
"Llama-3.1-8B","A",0.538284529464687,"HS"
"Llama-3.1-8B","A_batch",0.337182339268449,"HS"
"Llama-3.1-8B","A_batch_conf",0.28952532076645,"HS"
"Llama-3.1-8B","A_conf",0.5194937378995,"HS"
"Llama-3.1-8B","B",0.346554389863517,"HS"
"Llama-3.1-8B","B_batch",0.348943654032603,"HS"
"Llama-3.1-8B","B_batch_conf",0.242326385742626,"HS"
"Llama-3.1-8B","B_conf",0.366574406852013,"HS"
"Llama-3.1-8B","C.HS",0.424179816447668,"HS"
"Llama-3.1-8B","C.HS_batch",0.289760804352346,"HS"
"Llama-3.1-8B","C.HS_batch_conf",0.334689407995425,"HS"
"Llama-3.1-8B","C.HS_conf",0.400597044648642,"HS"
"Llama-4","A",0.585359389934878,"HS"
"Llama-4","A_batch",0.556254671488404,"HS"
"Llama-4","A_batch_conf",0.532085689226554,"HS"
"Llama-4","A_conf",0.471299327176495,"HS"
"Llama-4","B",0.58699602867145,"HS"
"Llama-4","B_batch",0.548042297597772,"HS"
"Llama-4","B_batch_conf",0.504540394699373,"HS"
"Llama-4","B_conf",0.558115094964816,"HS"
"Llama-4","C.HS",0.575635030074234,"HS"
"Llama-4","C.HS_batch",0.568209222823197,"HS"
"Llama-4","C.HS_batch_conf",0.565713255767701,"HS"
"Llama-4","C.HS_conf",0.582867645890385,"HS"
"Mistral-Large-3","A",0.604738027015964,"HS"
"Mistral-Large-3","A_batch",0.563491102772061,"HS"
"Mistral-Large-3","A_batch_conf",0.527430561081999,"HS"
"Mistral-Large-3","A_conf",0.5622670259276,"HS"
"Mistral-Large-3","B",0.538542862997164,"HS"
"Mistral-Large-3","B_batch",0.555003770883665,"HS"
"Mistral-Large-3","B_batch_conf",0.560685879830936,"HS"
"Mistral-Large-3","B_conf",0.552267522253263,"HS"
"Mistral-Large-3","C.HS",0.563577827130316,"HS"
"Mistral-Large-3","C.HS_batch",0.56705166997792,"HS"
"Mistral-Large-3","C.HS_batch_conf",0.543729876118921,"HS"
"Mistral-Large-3","C.HS_conf",0.565046933596539,"HS"
"Mistral-Medium-3.5","A",0.671217738408877,"HS"
"Mistral-Medium-3.5","A_batch",0.667651719559724,"HS"
"Mistral-Medium-3.5","A_batch_conf",0.660015340370633,"HS"
"Mistral-Medium-3.5","A_conf",0.671985405416124,"HS"
"Mistral-Medium-3.5","B",0.588034884182923,"HS"
"Mistral-Medium-3.5","B_batch",0.565047228142184,"HS"
"Mistral-Medium-3.5","B_batch_conf",0.580945237532306,"HS"
"Mistral-Medium-3.5","B_conf",0.572625349436462,"HS"
"Mistral-Medium-3.5","C.HS",0.661382210287704,"HS"
"Mistral-Medium-3.5","C.HS_batch",0.563940879780902,"HS"
"Mistral-Medium-3.5","C.HS_batch_conf",0.588141062092406,"HS"
"Mistral-Medium-3.5","C.HS_conf",0.643174588887299,"HS"
