"model","condition","kappa","n_items","outcome"
"GPT-4o-mini","A",0.947665993684873,3000,"OL"
"GPT-4o-mini","A_batch",0.911903864109747,3000,"OL"
"GPT-4o-mini","A_batch_conf",0.90027921818907,3000,"OL"
"GPT-4o-mini","A_conf",0.937013278746053,3000,"OL"
"GPT-4o-mini","B",0.954674954674955,3000,"OL"
"GPT-4o-mini","B_batch",0.896252352549953,3000,"OL"
"GPT-4o-mini","B_batch_conf",0.83606340206527,3000,"OL"
"GPT-4o-mini","B_conf",0.949602330892196,3000,"OL"
"GPT-4o-mini","C.OL",0.940698000560965,3000,"OL"
"GPT-4o-mini","C.OL_batch",0.928350970017636,3000,"OL"
"GPT-4o-mini","C.OL_batch_conf",0.9137272271218,3000,"OL"
"GPT-4o-mini","C.OL_conf",0.953817590632662,3000,"OL"
"GPT-5.4","A",0.927509746588694,3000,"OL"
"GPT-5.4","A_batch",0.936376355196605,3000,"OL"
"GPT-5.4","A_batch_conf",0.923716096042685,3000,"OL"
"GPT-5.4","A_conf",0.943229803205156,3000,"OL"
"GPT-5.4","B",0.96219862764583,3000,"OL"
"GPT-5.4","B_batch",0.932005437516199,3000,"OL"
"GPT-5.4","B_batch_conf",0.921990406253216,3000,"OL"
"GPT-5.4","B_conf",0.940560544546697,3000,"OL"
"GPT-5.4","C.OL",0.947851851851852,3000,"OL"
"GPT-5.4","C.OL_batch",0.945832527269751,3000,"OL"
"GPT-5.4","C.OL_batch_conf",0.931958009735973,3000,"OL"
"GPT-5.4","C.OL_conf",0.952111866679437,3000,"OL"
"Llama-3.1-70B","A",0.861923587438582,3000,"OL"
"Llama-3.1-70B","A_batch",0.779167936241316,3000,"OL"
"Llama-3.1-70B","A_batch_conf",0.776684093911041,3000,"OL"
"Llama-3.1-70B","A_conf",0.854833946625345,3000,"OL"
"Llama-3.1-70B","B",0.872536131285896,3000,"OL"
"Llama-3.1-70B","B_batch",0.823419435542567,3000,"OL"
"Llama-3.1-70B","B_batch_conf",0.701781237143688,3000,"OL"
"Llama-3.1-70B","B_conf",0.88840569292697,3000,"OL"
"Llama-3.1-70B","C.OL",0.855555555555556,3000,"OL"
"Llama-3.1-70B","C.OL_batch",0.853568560943488,3000,"OL"
"Llama-3.1-70B","C.OL_batch_conf",0.843895729256323,3000,"OL"
"Llama-3.1-70B","C.OL_conf",0.85534690865093,3000,"OL"
"Llama-3.1-8B","A",NA,3000,"OL"
"Llama-3.1-8B","A_batch",0.437861081932773,3000,"OL"
"Llama-3.1-8B","A_batch_conf",0.327417029026123,3000,"OL"
"Llama-3.1-8B","A_conf",0.309833064332984,3000,"OL"
"Llama-3.1-8B","B",0.795492082613816,3000,"OL"
