"model","outcome","icc"
"GPT-4o-mini","OL",0.749419887017341
"GPT-5.4","OL",0.855645636745591
"Mistral-Large-3","OL",0.69714032353643
"Mistral-Medium-3.5","OL",0.768243065589453
"Llama-3.1-8B","OL",0.272909355619889
"Llama-3.1-70B","OL",0.726844715147828
"Llama-4","OL",0.782356051462284
"GPT-4o-mini","HS",0.848352741969998
"GPT-5.4","HS",0.824355181528972
"Mistral-Large-3","HS",0.702852954045816
"Mistral-Medium-3.5","HS",0.742376079253129
"Llama-3.1-8B","HS",0.33298103402263
"Llama-3.1-70B","HS",0.687770825320939
"Llama-4","HS",0.790896712263631
