outcome,model,term,est,se,p,icc,n
OL,GPT-4o-mini,(Intercept),0.7213333333306834,0.006876138535473172,0,0.7493632451409957,108000
OL,GPT-4o-mini,joint_OL_first,0.06783333333332801,0.0015870301554982687,0,0.7493632451409957,108000
OL,GPT-4o-mini,joint_HS_first,0.04952777777777247,0.001587030155498269,7.907217343503811e-213,0.7493632451409957,108000
OL,GPT-4o-mini,confidence,0.04324074074074562,0.0012958046957935278,7.092440539763317e-243,0.7493632451409957,108000
OL,GPT-4o-mini,batched,-0.04524074074073979,0.0012958046957935296,1.5756165293449528e-265,0.7493632451409957,108000
OL,GPT-5.4,(Intercept),0.751046296296086,0.007355607371462798,0,0.8556087470195511,108000
OL,GPT-5.4,joint_OL_first,0.001527777777833649,0.0012193961940623883,0.2102460005569742,0.8556087470195511,108000
OL,GPT-5.4,joint_HS_first,-0.021833333333277468,0.0012193961940623885,1.3773236265663372e-71,0.8556087470195511,108000
OL,GPT-5.4,confidence,0.02022222222222222,9.956328232482183e-4,1.5452329391504416e-91,0.8556087470195511,108000
OL,GPT-5.4,batched,-0.0011481481481481922,9.956328232482183e-4,0.24883736806825754,0.8556087470195511,108000
OL,Mistral-Large-3,(Intercept),0.8309074074077907,0.005632229781592701,0,0.6970772070031409,108000
OL,Mistral-Large-3,joint_OL_first,0.031527777777859436,0.0014719887092695518,1.484074352553791e-101,0.6970772070031409,108000
OL,Mistral-Large-3,joint_HS_first,0.026861111111192767,0.0014719887092695515,2.788514901653325e-74,0.6970772070031409,108000
OL,Mistral-Large-3,confidence,0.04629629629629389,0.0012018737482828148,2.37e-322,0.6970772070031409,108000
OL,Mistral-Large-3,batched,-0.05488888888889732,0.0012018737482828153,0,0.6970772070031409,108000
OL,Mistral-Medium-3.5,(Intercept),0.7906203703710296,0.006574608637200577,0,0.7681893345461329,108000
OL,Mistral-Medium-3.5,joint_OL_first,0.0032777777777117426,0.0014444797121104867,0.023259683294803733,0.7681893345461329,108000
OL,Mistral-Medium-3.5,joint_HS_first,-0.004527777777843813,0.0014444797121104867,0.0017217186121583593,0.7681893345461329,108000
OL,Mistral-Medium-3.5,confidence,0.00992592592592592,0.0011794127461576885,3.9440181106582787e-17,0.7681893345461329,108000
OL,Mistral-Medium-3.5,batched,0.00277777777777617,0.0011794127461576894,0.01851351692635436,0.7681893345461329,108000
OL,Llama-3.1-8B,(Intercept),0.8295646692273382,0.004662532631137243,0,0.2728462964439348,107999
OL,Llama-3.1-8B,joint_OL_first,0.06358311495232354,0.002654723002618254,1.9773983854271336e-126,0.2728462964439348,107999
OL,Llama-3.1-8B,joint_HS_first,0.016388888888942285,0.0026547040770513995,6.702622779191852e-10,0.2728462964439348,107999
OL,Llama-3.1-8B,confidence,-0.003185039597809691,0.0021675671040733615,0.14172526054767348,0.2728462964439348,107999
OL,Llama-3.1-8B,batched,-0.20011096552372307,0.0021675671040733537,0,0.2728462964439348,107999
