outcome,model,term,est,se,p,icc,n
OL,Pooled,(Intercept),0.7937512178114844,0.0057562815792803566,0,0.591134402649938,755999
OL,Pooled,joint_OL_first,0.026726033066907434,7.336775529557592e-4,2.805359090656174e-290,0.591134402649938,755999
OL,Pooled,joint_HS_first,0.010630952380960077,7.336768222064006e-4,1.4229833657181608e-47,0.591134402649938,755999
OL,Pooled,confidence,0.022545078484500474,5.990450146070801e-4,1.1193010729175e-309,0.591134402649938,755999
OL,Pooled,batched,-0.05860306966366147,5.990450146070827e-4,0,0.591134402649938,755999
HS,Pooled,(Intercept),0.3215700939461773,0.006492944701550531,0,0.5631376715312816,755999
HS,Pooled,joint_OL_first,0.022773791714216732,8.757206555388127e-4,4.96155266542091e-149,0.5631376715312816,755999
HS,Pooled,joint_HS_first,-0.0072380952380923505,8.75719783314415e-4,1.395548537358785e-16,0.5631376715312816,755999
HS,Pooled,confidence,-0.01011109923804832,7.150226837058899e-4,2.1526748648352964e-45,0.5631376715312816,755999
HS,Pooled,batched,0.018486784359840962,7.150226837058862e-4,2.491858581673622e-147,0.5631376715312816,755999
