model,condition,task_structure,batched,confidence,group_type,OL_prev,HS_prev,elicited_OL,elicited_HS,n_labels
GPT-4o-mini,A,A,0,0,base,0.8047777777777778,0.38766666666666666,1,1,9000
GPT-4o-mini,A_batch,A,1,0,batch,0.728,0.3317777777777778,1,1,9000
GPT-4o-mini,A_batch_conf,A,1,1,batch_conf,0.782,0.35033333333333333,1,1,9000
GPT-4o-mini,A_conf,A,0,1,conf,0.8378888888888889,0.41888888888888887,1,1,9000
GPT-4o-mini,B,B,0,0,base,0.78,0.41388888888888886,1,1,9000
GPT-4o-mini,B_batch,B,1,0,batch,0.6892222222222222,0.3602222222222222,1,1,9000
GPT-4o-mini,B_batch_conf,B,1,1,batch_conf,0.7802222222222223,0.4146666666666667,1,1,9000
GPT-4o-mini,B_conf,B,0,1,conf,0.83,0.38922222222222225,1,1,9000
GPT-4o-mini,C.HS,C.HS,0,0,base,0,0.436,0,1,9000
GPT-4o-mini,C.HS_batch,C.HS,1,0,batch,2.2222222222222223e-4,0.3993333333333333,0,1,9000
GPT-4o-mini,C.HS_batch_conf,C.HS,1,1,batch_conf,0.010666666666666666,0.43322222222222223,0,1,9000
GPT-4o-mini,C.HS_conf,C.HS,0,1,conf,0,0.44055555555555553,0,1,9000
GPT-4o-mini,C.OL,C.OL,0,0,base,0.705,0,1,0,9000
GPT-4o-mini,C.OL_batch,C.OL,1,0,batch,0.72,0,1,0,9000
GPT-4o-mini,C.OL_batch_conf,C.OL,1,1,batch_conf,0.7215555555555555,0,1,0,9000
GPT-4o-mini,C.OL_conf,C.OL,0,1,conf,0.7347777777777778,0,1,0,9000
GPT-4o-mini_run2,A,A,0,0,base,0.7984444444444444,0.38166666666666665,1,1,9000
GPT-4o-mini_run2,A_batch,A,1,0,batch,0.748,0.34355555555555556,1,1,9000
GPT-4o-mini_run2,A_batch_conf,A,1,1,batch_conf,0.7974444444444444,0.35644444444444445,1,1,9000
GPT-4o-mini_run2,A_conf,A,0,1,conf,0.834,0.42155555555555557,1,1,9000
GPT-4o-mini_run2,B,B,0,0,base,0.7815555555555556,0.4196666666666667,1,1,9000
GPT-4o-mini_run2,B_batch,B,1,0,batch,0.7056666666666667,0.371,1,1,9000
GPT-4o-mini_run2,B_batch_conf,B,1,1,batch_conf,0.7737777777777778,0.43377777777777776,1,1,9000
GPT-4o-mini_run2,B_conf,B,0,1,conf,0.8223333333333334,0.36666666666666664,1,1,9000
GPT-4o-mini_run2,C.HS,C.HS,0,0,base,0,0.419,0,1,9000
GPT-4o-mini_run2,C.HS_batch,C.HS,1,0,batch,2.2222222222222223e-4,0.425,0,1,9000
GPT-4o-mini_run2,C.HS_batch_conf,C.HS,1,1,batch_conf,0.0012222222222222222,0.4517777777777778,0,1,9000
GPT-4o-mini_run2,C.HS_conf,C.HS,0,1,conf,0,0.434,0,1,9000
GPT-4o-mini_run2,C.OL,C.OL,0,0,base,0.695,0,1,0,9000
GPT-4o-mini_run2,C.OL_batch,C.OL,1,0,batch,0.7262222222222222,0,1,0,9000
GPT-4o-mini_run2,C.OL_batch_conf,C.OL,1,1,batch_conf,0.7208888888888889,0,1,0,9000
GPT-4o-mini_run2,C.OL_conf,C.OL,0,1,conf,0.7153333333333334,0,1,0,9000
GPT-5.4,A,A,0,0,base,0.76,0.17955555555555555,1,1,9000
GPT-5.4,A_batch,A,1,0,batch,0.7442222222222222,0.2222222222222222,1,1,9000
GPT-5.4,A_batch_conf,A,1,1,batch_conf,0.7688888888888888,0.21566666666666667,1,1,9000
GPT-5.4,A_conf,A,0,1,conf,0.7753333333333333,0.15855555555555556,1,1,9000
GPT-5.4,B,B,0,0,base,0.7172222222222222,0.18877777777777777,1,1,9000
GPT-5.4,B_batch,B,1,0,batch,0.7391111111111112,0.20766666666666667,1,1,9000
GPT-5.4,B_batch_conf,B,1,1,batch_conf,0.7628888888888888,0.1948888888888889,1,1,9000
GPT-5.4,B_conf,B,0,1,conf,0.7357777777777778,0.14544444444444443,1,1,9000
GPT-5.4,C.HS,C.HS,0,0,base,0,0.16866666666666666,0,1,9000
GPT-5.4,C.HS_batch,C.HS,1,0,batch,0,0.1958888888888889,0,1,9000
GPT-5.4,C.HS_batch_conf,C.HS,1,1,batch_conf,0,0.18677777777777776,0,1,9000
GPT-5.4,C.HS_conf,C.HS,0,1,conf,0,0.169,0,1,9000
GPT-5.4,C.OL,C.OL,0,0,base,0.75,0,1,0,9000
GPT-5.4,C.OL_batch,C.OL,1,0,batch,0.7516666666666667,0,1,0,9000
GPT-5.4,C.OL_batch_conf,C.OL,1,1,batch_conf,0.7526666666666667,0,1,0,9000
GPT-5.4,C.OL_conf,C.OL,0,1,conf,0.788,0,1,0,9000
GPT-5.4-mini,A,A,0,0,base,0.7998888888888889,0.25533333333333336,1,1,9000
GPT-5.4-mini,A_batch,A,1,0,batch,0.7744444444444445,0.32133333333333336,1,1,9000
GPT-5.4-mini,A_batch_conf,A,1,1,batch_conf,0.795,0.38911111111111113,1,1,9000
GPT-5.4-mini,A_conf,A,0,1,conf,0.8445555555555555,0.2358888888888889,1,1,9000
GPT-5.4-mini,B,B,0,0,base,0.8434444444444444,0.14555555555555555,1,1,9000
GPT-5.4-mini,B_batch,B,1,0,batch,0.8008888888888889,0.31933333333333336,1,1,9000
GPT-5.4-mini,B_batch_conf,B,1,1,batch_conf,0.8446666666666667,0.3427777777777778,1,1,9000
GPT-5.4-mini,B_conf,B,0,1,conf,0.8012222222222222,0.24188888888888888,1,1,9000
GPT-5.4-mini,C.HS,C.HS,0,0,base,0,0.2881111111111111,0,1,9000
GPT-5.4-mini,C.HS_batch,C.HS,1,0,batch,0,0.3606666666666667,0,1,9000
GPT-5.4-mini,C.HS_batch_conf,C.HS,1,1,batch_conf,0,0.38333333333333336,0,1,9000
GPT-5.4-mini,C.HS_conf,C.HS,0,1,conf,0,0.3671111111111111,0,1,9000
GPT-5.4-mini,C.OL,C.OL,0,0,base,0.7823333333333333,0,1,0,9000
GPT-5.4-mini,C.OL_batch,C.OL,1,0,batch,0.7515555555555555,0,1,0,9000
GPT-5.4-mini,C.OL_batch_conf,C.OL,1,1,batch_conf,0.7374444444444445,0,1,0,9000
GPT-5.4-mini,C.OL_conf,C.OL,0,1,conf,0.7667777777777778,0,1,0,9000
Llama-3.1-70B,A,A,0,0,base,0.8024444444444444,0.40555555555555556,1,1,9000
Llama-3.1-70B,A_batch,A,1,0,batch,0.7318888888888889,0.3561111111111111,1,1,9000
Llama-3.1-70B,A_batch_conf,A,1,1,batch_conf,0.7772222222222223,0.3635555555555556,1,1,9000
Llama-3.1-70B,A_conf,A,0,1,conf,0.8406666666666667,0.4265555555555556,1,1,9000
Llama-3.1-70B,B,B,0,0,base,0.8051111111111111,0.34055555555555556,1,1,9000
Llama-3.1-70B,B_batch,B,1,0,batch,0.7474444444444445,0.302,1,1,9000
Llama-3.1-70B,B_batch_conf,B,1,1,batch_conf,0.7743333333333333,0.3161111111111111,1,1,9000
Llama-3.1-70B,B_conf,B,0,1,conf,0.8355555555555556,0.4026666666666667,1,1,9000
Llama-3.1-70B,C.HS,C.HS,0,0,base,0,0.35855555555555557,0,1,9000
Llama-3.1-70B,C.HS_batch,C.HS,1,0,batch,7.777777777777777e-4,0.34155555555555556,0,1,9000
Llama-3.1-70B,C.HS_batch_conf,C.HS,1,1,batch_conf,0,0.3297777777777778,0,1,9000
Llama-3.1-70B,C.HS_conf,C.HS,0,1,conf,1.1111111111111112e-4,0.3258888888888889,0,1,9000
Llama-3.1-70B,C.OL,C.OL,0,0,base,0.8,0,1,0,9000
Llama-3.1-70B,C.OL_batch,C.OL,1,0,batch,0.7648888888888888,0,1,0,9000
Llama-3.1-70B,C.OL_batch_conf,C.OL,1,1,batch_conf,0.7801111111111111,0,1,0,9000
Llama-3.1-70B,C.OL_conf,C.OL,0,1,conf,0.8104444444444444,0,1,0,9000
Llama-3.1-8B,A,A,0,0,base,0.8188687631959106,0.29781086787420824,1,1,9000
Llama-3.1-8B,A_batch,A,1,0,batch,0.6826666666666666,0.45411111111111113,1,1,9000
Llama-3.1-8B,A_batch_conf,A,1,1,batch_conf,0.7463333333333333,0.3551111111111111,1,1,9000
Llama-3.1-8B,A_conf,A,0,1,conf,0.9181111111111111,0.25833333333333336,1,1,9000
Llama-3.1-8B,B,B,0,0,base,0.8781111111111111,0.26322222222222225,1,1,9000
Llama-3.1-8B,B_batch,B,1,0,batch,0.7075555555555556,0.38066666666666665,1,1,9000
Llama-3.1-8B,B_batch_conf,B,1,1,batch_conf,0.5424444444444444,0.21944444444444444,1,1,9000
Llama-3.1-8B,B_conf,B,0,1,conf,0.8491111111111111,0.2058888888888889,1,1,9000
Llama-3.1-8B,C.HS,C.HS,0,0,base,0,0.3718888888888889,0,1,9000
